Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
1e-13,0.00036187017411
5e-13,0.00217122776883
1e-12,0.004574049400800001
5e-12,0.0220741501038
1e-11,0.042092855922
5e-11,0.2088720858096
1e-10,0.4073946653637
5e-10,1.9644398170980002
1e-09,3.6522652563438003
5e-09,10.9101577776396
1e-08,15.532469594820002
5e-08,29.841944617269302
1e-07,40.9778811061773
5e-07,64.89364836889472
1e-06,70.0766724498837
5e-06,78.59648242400911
1e-05,85.54842005510791
1.5e-05,91.48009146000001
2e-05,109.71828189000001
2.5e-05,123.32576058000001
3e-05,178.04033187000002
3.5e-05,305.12938626000005
5e-05,374.04927300500106
0.0001,407.08486940346
0.0002,424.6186940604
0.0003,427.156317145611
0.0004,430.98348272574606
0.0005,429.601241943897
0.0006,430.519241322027
0.0007,433.766553929826
0.0008,433.524788190588
0.0009,434.780132453448
0.001,434.752455545589
0.0015,438.0879915051781
0.002,440.301611579634
0.0025,441.54149025149405
0.003,444.46754510300997
0.0035,444.6275960387401
0.004,445.82538364779015
0.0045,447.66718424206505
0.005,447.83802836720105
0.0055,449.9420267636761
0.006,452.154719799228
0.0065,451.50606511945205
0.007,452.799395115198
0.0075,453.19431637797004
0.008,455.233131567021
0.0085,450.74683280886
0.009,454.7562330339721
0.0095,454.909385643699
0.01,454.93607454684604
0.015,465.08714023525204
0.02,464.79587250130805
0.025,467.88740402132703
0.03,470.995917208542
0.035,475.35407861421
0.04,474.71306931572406
0.045,473.260215335037
0.05,476.984773218918
0.055,477.85268156505003
0.06,479.86390569147903
0.065,481.933276853844
0.07,483.74949175713
0.075,482.48305485515993
0.08,488.19149414886004
0.085,486.426030815205
0.09,483.75095986758004
0.095,487.22345573898
0.1,488.47416211765204
0.2,494.93204355456305
0.3,499.38233079615003
0.4,503.43528840141
0.5,506.90925238326
0.6,506.22781827129006
0.7,506.923912642833
0.8,506.15027648768404
0.9,509.4584172821371
1.0,508.51738515622804
