Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
1e-13,0.0
5e-13,0.0
1e-12,0.0
5e-12,0.0
1e-11,0.0
5e-11,0.0
1e-10,2.274114294e-05
5e-10,4.548452727000001e-05
1e-09,0.00015919472475
5e-09,0.0006367744162200001
1e-08,0.0012508076895000001
5e-08,0.005935648998
1e-07,0.012053231622299999
5e-07,0.0608575040352
1e-06,0.1190996645628
5e-06,0.5906542531599001
1e-05,1.202390303415
5e-05,5.8696323745323005
0.0001,11.582390669865001
0.0002,23.226844151237703
0.0003,35.159279107778104
0.0004,47.0541443334165
0.0005,58.83591379381561
0.0006,71.28556921708801
0.0007,84.04494741921691
0.0008,99.16930781595511
0.0009,115.32590317011932
0.001,134.2515826478631
0.0015,414.0812461327051
0.002,599.861090276118
0.0025,656.7760854569491
0.003,686.4994059205441
0.0035,700.121352110577
0.004,716.182838831838
0.0045,724.576944123693
0.005,735.759236592303
0.0055,741.3229179542429
0.006,748.9963634642941
0.0065,753.783864245157
0.007,759.5263121493269
0.0075,760.3901230104
0.008,766.4043634349431
0.0085,768.398291875437
0.009,772.7430782345581
0.0095,774.138309664569
0.01,778.6780433844691
0.015,794.0594706382471
0.02,804.8392083421621
0.025,811.1969520945989
0.03,815.1075115034911
0.035,823.771741049142
0.04,826.0177400193991
0.045,830.290482052167
0.05,831.84620328207
0.055,831.9138051734432
0.06,834.410199906855
0.065,840.3438350159402
0.07,840.9714771127441
0.075,846.7931722741711
0.08,843.1852955502151
0.085,845.1142581981151
0.09,848.7566556901561
0.095,851.830379366625
0.1,846.027391966833
0.2,861.8511494681071
0.3,869.93779925916
0.4,878.2559254645171
0.5,883.415536657983
0.6,886.3966590997142
0.7,882.0383732969011
0.8,888.2724133904042
0.9,888.321622211298
1.0,892.954845428793
