Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
1e-09,18.0356402967549
5e-09,19.0232405275155
1e-08,19.623426470961604
5e-08,24.057595339125
1e-07,28.7036567454342
5e-07,45.1667205146583
1e-06,50.06346496307881
5e-06,62.70850235265121
1e-05,69.325212988431
5e-05,86.7219313483791
0.0001,103.59785964870902
0.0002,138.42849160806603
0.0003,173.86732272667203
0.0004,198.637140359085
0.0005,215.26256461470902
0.0006,229.45177344117002
0.0007,238.75832506743
0.0008,250.33413165417005
0.0009,259.60047498522005
0.001,267.47711168847
0.0015,298.37920941183
0.002,320.8595576597701
0.0025,338.4745901178
0.003,354.41284319961005
0.0035,361.04679276933
0.004,366.59416353624005
0.0045,373.4738501400001
0.005,377.01524634
0.0055,381.50699190000006
0.006,382.86975702000007
0.0065,390.22151622000007
0.007,395.53136913000003
0.0075,397.57327542
0.008,400.43328906000005
0.0085,402.20398716000005
0.009,399.34397352
0.0095,407.51384007
0.01,405.06175941000004
0.015,421.12804293
0.02,433.38396345
0.025,437.46777603000004
0.03,456.2573484
0.035,470.82638340000005
0.04,476.13623631
0.045,486.75594213000005
0.05,490.4318217300001
0.055,491.7945868500001
0.06,496.42305720000013
0.065,497.37564795000003
0.07,510.85536741
0.075,511.53674997
0.08,514.80469659
0.085,533.32081938
0.09,530.18959755
0.095,524.6062950600001
0.1,545.9846728800001
0.2,602.48787339
0.3,624.6821171700001
0.4,609.70514919
0.5,615.8308680600001
0.6,616.64897541
0.7,635.0283734100001
0.8,640.47495111
0.9,642.9270317700001
1.0,629.99197008
