Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
1e-09,18.7199954105868
5e-09,18.7479739871259
1e-08,18.7479739871259
5e-08,18.748793170343102
1e-07,18.750620598024003
5e-07,18.758844033795
1e-06,18.7753223968665
5e-06,18.869151442632603
1e-05,18.996630386813102
5e-05,20.010002859452403
0.0001,21.1994702046834
0.0002,23.9948697261804
0.0003,26.8791515905413
0.0004,30.1627267505943
0.0005,33.667578364236604
0.0006,37.66536323567671
0.0007,41.985878411802005
0.0008,46.8771501479151
0.0009,53.191327532230204
0.001,59.341918501884905
0.0015,118.88842382086621
0.002,195.7509047647167
0.0025,236.55630060000001
0.003,264.67677954000004
0.0035,265.22816148000004
0.004,291.14535405000004
0.0045,305.48128449
0.005,316.50892329000004
0.0055,336.91211939019
0.006,349.39416029895
0.0065,353.25381594783
0.007,374.07382541519996
0.0075,377.37230200839
0.008,386.98720613972995
0.0085,391.62717482043
0.009,399.36964191828
0.0095,405.46145304036
0.01,403.14657010365005
0.015,449.02471011294006
0.02,471.0880432686
0.025,495.80615270613
0.03,508.40089518687006
0.035,523.2769064784901
0.04,537.09226512543
0.045,546.30406198944
0.05,551.4240557181
0.055,557.07358007565
0.06,564.36269466654
0.065,567.4125921431701
0.07,571.15475412825
0.075,575.65834319301
0.08,580.69874740416
0.085,583.19904708723
0.09,588.58928072541
0.095,594.8556490593
0.1,601.4760359781301
0.2,684.80676960663
0.3,695.12390122497
0.4,699.50232658935
0.5,705.68495883423
0.6,706.90026290613
0.7,709.9164252218701
0.8,711.8119396068
0.9,713.5334414376902
1.0,715.75224495066
