Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
1e-09,0.2579959804365
5e-09,1.2617975160507
1e-08,2.594044026708
5e-08,13.1008856618835
1e-07,23.6406641196588
5e-07,54.5318613134457
1e-06,68.172956975841
5e-06,104.282900381328
1e-05,118.823311486194
5e-05,146.07879274911602
0.0001,160.29830404768202
0.0002,180.475350396903
0.0003,197.900765967852
0.0004,213.125829148311
0.0005,226.27646346987004
0.0006,238.05748500084002
0.0007,248.81323422827998
0.0008,257.79228963747005
0.0009,266.69553451269
0.001,274.04763888675
0.0015,304.60758842661
0.002,327.11138161395
0.0025,345.95887598433
0.003,362.5171423679401
0.0035,376.9003863094501
0.004,388.5684485085901
0.0045,400.45057465968006
0.005,409.88971347
0.0055,420.35863426053
0.006,428.72531278365005
0.0065,435.75587631387003
0.007,447.6357072816001
0.0075,451.98385146708
0.008,459.88232827449013
0.0085,464.66143572222006
0.009,467.41274643
0.0095,476.15543157396
0.01,481.5238049354701
0.015,518.78540523
0.02,559.66611744
0.025,592.22454858
0.03,607.4189313900001
0.035,628.40282457
0.04,639.0135648300001
0.045,652.7622510900001
0.05,669.0414666600001
0.055,670.97130345
0.06,670.85026839
0.065,691.59209145
0.07,696.2945276700001
0.075,715.71168924
0.08,720.17205534
0.085,735.7295433300001
0.09,746.5823537100001
0.095,755.86843248
0.1,759.607071
0.2,981.0115752
0.3,1149.47893038
0.4,1159.7288068500002
0.6,1176.2500925400002
0.7,1181.55546267
0.8,1197.5948495100001
0.9,1187.1029029200001
1.0,1188.18773568
