Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
1e-13,0.0006278469598500001
5e-13,0.0030838388454
1e-12,0.0062600005449
5e-12,0.029656503507000002
1e-11,0.059313029427899996
5e-11,0.2969713766631
1e-10,0.5987070070824001
5e-10,3.0222128808033
1e-09,6.2813639502348
5e-09,37.69213540646221
1e-08,77.61824091546842
5e-08,137.8673675785005
1e-07,150.20362756269063
5e-07,181.336835367573
1e-06,200.91087249609
5e-06,219.26611458778203
1e-05,227.16090699831005
5e-05,245.86433154366006
0.0001,255.15452774709001
0.0002,264.48083722620004
0.0003,268.43165693055
0.0004,267.45819659826003
0.0005,272.47075602144
0.0006,267.65820479352004
0.0007,268.77114234273
0.0008,271.37741942778
0.0009,272.17588099443003
0.001,274.7005670007
0.0015,274.13144670024
0.002,273.83304372537003
0.0025,278.17467891429
0.003,277.44349490988003
0.0035,277.38526583907003
0.004,280.15629629607
0.0045,278.74090109748
0.005,278.21732135904
0.0055,278.93592444138
0.006,279.45311173554
0.0065,279.25901408571
0.007,280.19416009734
0.0075,281.77178934552006
0.008,279.79521733263005
0.0085,281.54402153511006
0.009,280.66602648570006
0.0095,280.85505859413
0.01,282.08522756451003
0.015,283.94798403459004
0.02,283.55808079575
0.025,285.12118583673
0.03,285.46126073448
0.035,284.6481225461101
0.04,286.74317667579004
0.045,287.09892561381
0.05,287.24294836965
0.055,285.49011414795
0.06,290.00680413726
0.065,292.1901779985
0.07,289.11449557131004
0.075,289.0728752004
0.08,290.88187641411
0.085,291.17826437937003
0.09,290.64398424507004
0.095,293.90725532553
0.1,291.51701013285003
0.2,295.57597242192
0.3,302.15188792176
0.4,304.55002504863
0.5,304.93692482487
0.6,306.37944980802
0.7,309.78093844422006
0.8,313.29355519662005
0.9,317.08076015514
1.0,312.45839759289004
