Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
1e-09,8.7447465279291
5e-09,8.7447465279291
1e-08,8.7447465279291
5e-08,8.7447465279291
1e-07,8.744855818105501
5e-07,8.7460582341849
1e-06,8.746932712493402
5e-06,8.757207782187
1e-05,8.772347116458599
5e-05,8.885755555602902
0.0001,9.047314745077802
0.0002,9.308400078179101
0.0003,9.6168710183067
0.0004,9.916815822943802
0.0005,10.219056124735502
0.0006,10.468336056706802
0.0007,10.777626807640802
0.0008,11.0923283861043
0.0009,11.409434751898802
0.001,11.668771128383101
0.0015,13.074817063419001
0.002,14.711232412651801
0.0025,16.2375186107937
0.003,17.656244425268103
0.0035,19.2748423378017
0.004,20.516651003349
0.0045,22.177114405203003
0.005,23.4276131639193
0.0055,24.7539725964999
0.006,26.4896954641785
0.0065,27.569453044801502
0.007,29.639607819524404
0.0075,30.9824182926324
0.008,32.440659431770506
0.0085,34.1581823023047
0.009,35.827390442415904
0.0095,37.332853208487904
0.01,39.13339651461901
0.015,54.6498561296358
0.02,68.6700349447851
0.025,81.71353488126
0.03,92.96326869047729
0.035,104.06461508510759
0.04,113.53768968313652
0.045,122.90593662259981
0.05,131.43020622316652
0.055,139.9696698255069
0.06,147.347940388152
0.065,153.07225145754782
0.07,160.3451478210897
0.075,168.114472531512
0.08,174.7435915919874
0.085,181.0465316106402
0.09,190.8169275783807
0.095,195.1202173361475
0.1,202.52007649658069
0.2,573.1439131149631
0.3,583.547100885102
0.4,596.15811854691
0.5,598.096719395949
0.6,604.7891833654261
0.7,609.5034760902481
0.8,615.65185272348
0.9,612.525933798081
1.0,615.4094047051261
