Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
1e-09,0.0082601273253
5e-09,0.0395049022002
1e-08,0.07918938456720001
5e-08,0.4012056496401
1e-07,0.7981273305732
5e-07,4.236285376140001
1e-06,8.619098037306001
5e-06,59.130325772065504
1e-05,128.4995789584644
5e-05,235.118006912892
0.0001,271.81234277788207
0.0002,300.31631166751504
0.0003,320.02553957871606
0.0004,334.775824356927
0.0005,347.309601926223
0.0006,355.670532852966
0.0007,362.561163043401
0.0008,369.432092088153
0.0009,376.688963611476
0.001,379.314962238858
0.0015,393.91933566601506
0.002,399.72553049489704
0.0025,404.98822500757507
0.003,408.2607447355921
0.0035,412.33929273876
0.004,412.414993220481
0.0045,413.98962281642406
0.005,414.12845428888505
0.0055,415.378989873639
0.006,416.70750901996803
0.0065,416.004219114108
0.007,416.43133390972804
0.0075,418.05903850017603
0.008,419.888936416995
0.0085,417.459256656933
0.009,419.969485473564
0.0095,418.97031908764205
0.01,420.854113020123
0.015,422.701813849434
0.02,424.9427938992031
0.025,425.42562583986
0.03,426.97868160877505
0.035,427.237669516356
0.04,428.134790122497
0.045,432.5328404253
0.05,429.785787237825
0.055,432.75768479073304
0.06,430.480534982256
0.065,432.56860000963803
0.07,433.46382215844903
0.075,431.310497043966
0.08,433.65726801206705
0.085,436.39185391594503
0.09,433.05492067383
0.095,436.854240793578
0.1,435.232051367364
0.2,440.24440301369106
0.3,442.82050762725606
0.4,448.582041415554
0.5,447.77809090893305
0.6,449.3848118303401
0.7,451.2906926440201
0.8,452.348859811329
0.9,452.77533312113104
1.0,454.880559799326
