Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
1e-09,0.0100738601133
5e-09,0.047131276503
1e-08,0.09102450652860002
5e-08,0.44396933117520004
1e-07,0.8863196391117
5e-07,4.4486877632691
1e-06,8.8878413483091
5e-06,36.1504001811924
1e-05,58.6419077720088
5e-05,157.26066282778052
0.0001,174.3480851471142
0.0002,182.0133918338667
0.0003,186.3197863426476
0.0004,193.5445416386637
0.0005,195.0662339062755
0.0006,197.7886940919786
0.0007,203.3276971224294
0.0008,206.37306046881451
0.0009,206.97659251614994
0.001,207.92695310551383
0.0015,225.205958571306
0.002,230.93546558617203
0.0025,237.614073730947
0.003,233.68706789879104
0.0035,244.375251545376
0.004,250.804172206236
0.0045,251.417058560253
0.005,261.268752096753
0.0055,260.84421108927006
0.006,262.168023989016
0.0065,267.47766688077303
0.007,274.42197298237204
0.0075,271.85439842673
0.008,283.68020853337504
0.0085,286.871103113484
0.009,288.120801314934
0.0095,296.67710479413904
0.01,294.79239390900904
0.015,340.46169061193706
0.02,388.087654439721
0.025,446.43616107795606
0.03,480.691236809607
0.035,501.89958659457005
0.04,522.571143871182
0.045,544.413427334679
0.05,553.049781833595
0.055,561.669946548402
0.06,577.3301188901941
0.065,577.614165762114
0.07,585.094185366918
0.075,597.125610281769
0.08,597.699100620312
0.085,612.372035029623
0.09,624.700818431604
0.095,625.641105071199
0.1,635.1062146433101
0.2,1075.1062595260892
0.3,1105.826850159666
0.4,1117.138713573813
0.5,1127.1769535172332
0.6,1126.836960878496
0.7,1135.924120768776
0.8,1145.8096337424302
0.9,1144.294057824678
1.0,1147.133446642176
