Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
1e-09,0.04370255497830001
5e-09,0.21973805314890002
1e-08,0.46334038735290006
5e-08,2.2488433165809
1e-07,4.4921435860362005
5e-07,20.6789492687625
1e-06,38.0491079416971
5e-06,111.1610218672788
1e-05,143.48830502385152
5e-05,221.83933188757683
0.0001,255.00699923315102
0.0002,284.517539388849
0.0003,306.512466442404
0.0004,319.80848561250605
0.0005,331.838881281069
0.0006,342.51146373255904
0.0007,353.331608094699
0.0008,361.3479042398761
0.0009,369.80157603995406
0.001,378.6388848248491
0.0015,411.80556040017603
0.002,440.759403607767
0.0025,466.19189469371105
0.003,486.5201734538461
0.0035,505.667024510541
0.004,522.008626929801
0.0045,532.8962799414901
0.005,545.6594079666751
0.0055,556.296923423337
0.006,568.40929793115
0.0065,582.518277771534
0.007,590.735524168188
0.0075,600.4801422457471
0.008,611.331444394416
0.0085,621.108095521299
0.009,634.041365892411
0.0095,645.584031959028
0.01,656.6016252973261
0.015,748.1360016541531
0.02,787.1657038466461
0.025,802.6058902599691
0.03,813.568228403709
0.035,822.7852066889822
0.04,825.040351651134
0.045,832.6773866771911
0.05,834.6073005710069
0.055,842.1762437378371
0.06,846.229903122306
0.065,849.3842469074071
0.07,850.6587391408981
0.075,854.672255230467
0.08,852.281509983678
0.085,858.2551642146572
0.09,856.871969721363
0.095,861.4898528656981
0.1,862.1433489478741
0.2,879.893410584369
0.3,892.996648472988
0.4,893.8919380876381
0.5,903.5321719432291
0.6,903.546058699113
0.7,910.5218957786761
0.8,910.9509859113031
0.9,916.7191389725491
1.0,920.503873022733
