Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
1e-13,2.1510619829999998e-05
5e-13,0.0001720939242
1e-12,0.00019360454403000003
5e-12,0.0017209370006100002
1e-11,0.0032913019038
5e-11,0.0171878526621
1e-10,0.0323106006477
5e-10,0.1725669919734
1e-09,0.32939317266870005
5e-09,1.7318523681848998
1e-08,3.5905059962838
5e-08,22.1467554724839
1e-07,51.3607509001053
5e-07,109.9290392761803
1e-06,121.83670434045
5e-06,189.6623198994027
1e-05,210.03781578127771
5e-05,237.01710505629302
0.0001,256.12574399971203
0.0002,272.31692135673603
0.0003,277.867217137596
0.0004,277.19122243087804
0.0005,286.47868884542703
0.0006,287.030414390514
0.0007,287.71056373773604
0.0008,288.17991035545805
0.0009,289.861071649128
0.001,291.505185904044
0.0015,297.080999237637
0.002,298.870893049875
0.0025,302.11528916100605
0.003,299.08754670383104
0.0035,301.519215025101
0.004,297.05457212884204
0.0045,296.923708125414
0.005,299.745234633585
0.0055,298.15407994158903
0.006,302.37857426149503
0.0065,297.88305397659605
0.007,302.783031069744
0.0075,299.33447974357506
0.008,302.725315501383
0.0085,302.021164229346
0.009,302.551652380044
0.0095,302.441452423443
0.01,302.81118337642204
0.015,302.827393333041
0.02,302.85898729406404
0.025,302.83768377867005
0.03,302.85172541460304
0.035,302.78457987023404
0.04,302.270680246926
0.045,302.860742526573
0.05,302.832486891816
0.055,302.86944965430604
0.06,302.14272153321605
0.065,302.877640589922
0.07,302.87037893460007
0.075,302.88345699697203
0.08,302.875506786642
0.085,302.87419915971606
0.09,302.881977007155
0.095,302.87206535643605
0.1,302.883870085149
0.2,302.881495332444
0.3,302.88483365871
0.4,302.882803183509
0.5,302.88497128005605
0.6,302.88479914130403
0.7,302.882493423411
0.8,302.88497128005605
0.9,302.88445508793905
1.0,302.88497128005605
