Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
1e-09,0.014823141384300001
5e-09,0.060574842342300005
1e-08,0.1219190418021
5e-08,0.6262648074768001
1e-07,1.2368345504454001
5e-07,6.2124854303595
1e-06,12.670245070137902
5e-06,106.03878923656171
1e-05,208.13964994404722
5e-05,268.36473171481805
0.0001,283.831369668087
0.0002,297.10633725503106
0.0003,304.18738675016704
0.0004,306.961621946589
0.0005,309.921582304635
0.0006,310.274926903602
0.0007,312.97720070510104
0.0008,315.33007923681305
0.0009,314.14161222393903
0.001,316.50331264255203
0.0015,318.958824646503
0.002,320.919274565262
0.0025,322.20134785215004
0.003,323.09058235171506
0.0035,324.122970396078
0.004,322.438723380795
0.0045,326.77220909981406
0.005,326.259708103866
0.0055,325.884769953639
0.006,325.231731115023
0.0065,327.160175329416
0.007,328.29458158446306
0.0075,328.23928963110905
0.008,328.006889539986
0.0085,329.80710584973
0.009,328.52482747565705
0.0095,330.476455283376
0.01,330.107825749443
0.015,330.82215763899904
0.02,332.19311840153404
0.025,333.68276704046104
0.03,337.752308690331
0.035,334.98197149525805
0.04,336.824862301629
0.045,340.106469297123
0.05,336.839480198931
0.055,337.59387021056705
0.06,337.23324221479504
0.065,337.328746273722
0.07,342.186632752338
0.075,341.07315345916504
0.08,339.507542768304
0.085,340.370054519733
0.09,341.575601372685
0.095,341.90212079199307
0.1,341.276625274392
0.2,349.37775310001103
0.3,349.459767577362
0.4,352.27949805972605
0.5,350.768102110185
0.6,354.43105875200104
0.7,355.187910930552
0.8,353.273315144274
0.9,354.866623139643
1.0,355.707438908289
