Pressure (Pa),Loading (mol/kg)
0.00000001,1.61449E-05
0.00000005,9.68697E-05
0.0000001,0.000204072
0.0000005,0.000984842
0.000001,0.00187798
0.000005,0.009318864
0.00001,0.018175983
0.00005,0.08764382
0.0001,0.162946442
0.0005,0.486758564
0.001,0.6929838
0.005,1.331403487
0.01,1.828235207
0.05,2.895241273
0.1,3.126482783
0.5,3.506595569
1,3.816757461
1.5,4.0814
2,4.8951
2.5,5.5022
3,7.9433
3.5,13.6134
5,16.68827259
10,18.1621614
20,18.944436
30,19.05765249
40,19.22840214
50,19.16673323
60,19.20768993
70,19.35256934
80,19.34178292
90,19.39779032
100,19.39655551
150,19.54537102
200,19.64413206
250,19.69944946
300,19.8299959
350,19.8371366
400,19.8905761
450,19.97274835
500,19.98037059
550,20.07424084
600,20.17296052
650,20.14402068
700,20.20172282
750,20.2193423
800,20.31030439
850,20.1101474
900,20.28902748
950,20.29586041
1000,20.29705114
1500,20.74994268
2000,20.73694772
2500,20.87487693
3000,21.01356378
3500,21.2080039
4000,21.17940516
4500,21.11458583
5000,21.28075762
5500,21.3194795
6000,21.40921061
6500,21.50153596
7000,21.5825667
7500,21.5260644
8000,21.7807474
8500,21.70198095
9000,21.5826322
9500,21.7375582
10000,21.79335868
20000,22.08147817
30000,22.2800285
40000,22.4608519
50000,22.6158434
60000,22.5854411
70000,22.61649747
80000,22.58198156
90000,22.72957483
100000,22.68759052
