Pressure (Pa),Loading (mol/kg)
0.00000001,0
0.00000005,0
0.0000001,0
0.0000005,0
0.000001,0
0.000005,0
0.00001,1.0146E-06
0.00005,2.0293E-06
0.0001,7.1025E-06
0.0005,2.84098E-05
0.001,0.000055805
0.005,0.00026482
0.01,0.000537757
0.05,0.002715168
0.1,0.005313652
0.5,0.026352141
1,0.05364485
5,0.261874657
10,0.51675035
20,1.036269643
30,1.568637279
40,2.099328735
50,2.624974404
60,3.18041792
70,3.749679771
80,4.424455709
90,5.145284987
100,5.989657429
150,18.47430595
200,26.76290562
250,29.30217791
300,30.62828896
350,31.23603443
400,31.95262042
450,32.32712487
500,32.82602477
550,33.07424937
600,33.41660146
650,33.63019663
700,33.88639693
750,33.924936
800,34.19326237
850,34.28222183
900,34.47606522
950,34.53831371
1000,34.74085471
1500,35.42709973
2000,35.90803958
2500,36.19169141
3000,36.36616169
3500,36.75271778
4000,36.85292341
4500,37.04355253
5000,37.1129613
5500,37.11597737
6000,37.22735445
6500,37.4920846
7000,37.52008696
7500,37.77982289
8000,37.61885685
8500,37.70491785
9000,37.86742404
9500,38.00455875
10000,37.74565747
20000,38.45163713
30000,38.8124244
40000,39.18353903
50000,39.41373597
60000,39.54673926
70000,39.35229359
80000,39.63042636
90000,39.63262182
100000,39.83933387
