Pressure (Pa),Loading (mol/kg)
0.0001,0.804663191
0.0005,0.848725145
0.001,0.875502544
0.005,1.07333375
0.01,1.280618578
0.05,2.015120997
0.1,2.233590092
0.5,2.797750608
1,3.09295629
5,3.869113869
10,4.62203631
20,6.17601094
30,7.75712048
40,8.86223015
50,9.60397631
60,10.2370303
70,10.6522437
80,11.1687003
90,11.5821198
100,11.9335373
150,13.3122397
200,14.3152043
250,15.101102
300,15.8121899
350,16.1081647
400,16.3556616
450,16.6626
500,16.8206
550,17.021
600,17.0818
650,17.4098
700,17.6467
750,17.7378
800,17.8654
850,17.9444
900,17.8168
950,18.1813
1000,18.0719
1500,18.7887
2000,19.3355
2500,19.5177
3000,20.356
3500,21.006
4000,21.2429
4500,21.7167
5000,21.8807
5500,21.9415
6000,22.148
6500,22.1905
7000,22.7919
7500,22.8223
8000,22.9681
8500,23.7942
9000,23.6545
9500,23.4054
10000,24.3592
20000,26.8801
30000,27.8703
40000,27.2021
50000,27.4754
60000,27.5119
70000,28.3319
80000,28.5749
90000,28.6843
100000,28.1072
