Pressure (Pa),Loading (mol/kg)
0.0001,0.835195812
0.0005,0.836444081
0.001,0.836444081
0.005,0.836480629
0.01,0.83656216
0.05,0.83692905
0.1,0.837664235
0.5,0.841850434
1,0.847537929
5,0.892749716
10,0.945818006
20,1.070535236
30,1.199217967
40,1.345715237
50,1.502084794
60,1.680446653
70,1.87320718
80,2.091432109
90,2.373140218
100,2.647549891
150,5.304227458
200,8.733460253
250,10.554
300,11.8086
350,11.8332
400,12.9895
450,13.6291
500,14.1211
550,15.0313921
600,15.5882805
650,15.7604797
700,16.689368
750,16.8365301
800,17.2655007
850,17.4725137
900,17.8179452
950,18.0897324
1000,17.9864535
1500,20.0333146
2000,21.017674
2500,22.1204767
3000,22.6823933
3500,23.3460891
4000,23.9624637
4500,24.3734496
5000,24.601879
5500,24.8539335
6000,25.1791386
6500,25.3152103
7000,25.4821675
7500,25.6830959
8000,25.9079744
8500,26.0195257
9000,26.2600119
9500,26.539587
10000,26.8349567
20000,30.5527717
30000,31.0130723
40000,31.2084165
50000,31.4842557
60000,31.5384767
70000,31.6730433
80000,31.757612
90000,31.8344171
100000,31.9334094
