Pressure (Pa),Loading (mol/kg)
0.0001,0.011510535
0.0005,0.056295313
0.001,0.11573372
0.005,0.584498265
0.01,1.054732292
0.05,2.432948363
0.1,3.04154819
0.5,4.65259952
1,5.30132246
5,6.51733044
10,7.15173638
20,8.05193877
30,8.82937668
40,9.50864549
50,10.0953633
60,10.6209756
70,11.1008452
80,11.5014473
90,11.8986671
100,12.2266825
150,13.5901199
200,14.5941305
250,15.4350147
300,16.1737646
350,16.8154755
400,17.3360481
450,17.8661712
500,18.2873
550,18.7543727
600,19.1276535
650,19.4413233
700,19.971344
750,20.1653372
800,20.5177291
850,20.7309498
900,20.8537
950,21.2437564
1000,21.4832673
1500,23.1457
2000,24.9696
2500,26.4222
3000,27.1001
3500,28.0363
4000,28.5097
4500,29.1231
5000,29.8494
5500,29.9355
6000,29.9301
6500,30.8555
7000,31.0653
7500,31.9316
8000,32.1306
8500,32.8247
9000,33.3089
9500,33.7232
10000,33.89
20000,43.768
30000,51.2842
40000,51.7415
60000,52.4786
70000,52.7153
80000,53.4309
90000,52.9628
100000,53.0112
