Pressure (Pa),Loading (mol/kg)
0.00000001,2.80115E-05
0.00000005,0.000137586
0.0000001,0.000279291
0.0000005,0.00132313
0.000001,0.002646261
0.000005,0.013249429
0.00001,0.026711416
0.00005,0.134836547
0.0001,0.280244132
0.0005,1.681641098
0.001,3.462951156
0.005,6.150976295
0.01,6.701360654
0.05,8.09037407
0.1,8.9636731
0.5,9.78259538
1,10.1348229
5,10.9692794
10,11.3837631
20,11.799858
30,11.9761245
40,11.9326934
50,12.1563296
60,11.9416168
70,11.9912707
80,12.1075502
90,12.1431737
100,12.255813
150,12.2304216
200,12.2171083
250,12.4108111
300,12.3781892
350,12.3755913
400,12.4992213
450,12.4360732
500,12.4127136
550,12.4447742
600,12.4678486
650,12.4591889
700,12.5009106
750,12.5712968
800,12.4831117
850,12.5611349
900,12.521963
950,12.5303967
1000,12.5852809
1500,12.6683881
2000,12.6509925
2500,12.7207307
3000,12.7359032
3500,12.6996249
4000,12.7930961
4500,12.8089679
5000,12.8153935
5500,12.7371905
6000,12.9387034
6500,13.036115
7000,12.8988929
7500,12.897036
8000,12.9777449
8500,12.9909683
9000,12.9671313
9500,13.1127227
10000,13.0060815
20000,13.1871728
30000,13.4805584
40000,13.5875517
50000,13.6048133
60000,13.6691718
70000,13.8209298
80000,13.9776458
90000,14.1466126
100000,13.9403851
