Pressure (Pa),Loading (mol/kg)
0.0001,0.390148369
0.0005,0.390148369
0.001,0.390148369
0.005,0.390148369
0.01,0.390153245
0.05,0.390206891
0.1,0.390245906
0.5,0.39070433
1,0.391379774
5,0.396439511
10,0.403647502
20,0.415295869
30,0.429058353
40,0.442440442
50,0.455924945
60,0.467046612
70,0.480845672
80,0.494886137
90,0.509033892
100,0.520604229
150,0.58333521
200,0.656344162
250,0.724439683
300,0.787736379
350,0.859950403
400,0.91535391
450,0.98943577
500,1.045226987
550,1.104402741
600,1.181842315
650,1.230015885
700,1.322376196
750,1.382285916
800,1.447345595
850,1.523973173
900,1.598445181
950,1.665611661
1000,1.74594321
1500,2.438212722
2000,3.063725409
2500,3.6456634
3000,4.147572207
3500,4.642860684
4000,5.065503535
4500,5.483469482
5000,5.863781235
5500,6.244770871
6000,6.57395368
6500,6.829344802
7000,7.153826323
7500,7.50045608
8000,7.796215366
8500,8.077422118
9000,8.513330013
9500,8.705322025
10000,9.035468013
20000,25.57091417
30000,26.03505418
40000,26.5976969
50000,26.68418791
60000,26.98277334
70000,27.19310232
80000,27.4674132
90000,27.32794979
100000,27.45659634
