Pressure (Pa),Loading (mol/kg)
0.0001,0.000368527
0.0005,0.001762518
0.001,0.003533048
0.005,0.017899859
0.01,0.035608588
0.05,0.1890026
0.1,0.38454254
0.5,2.638109645
1,5.733030796
5,10.48983028
10,12.12695438
20,13.39866385
30,14.27799444
40,14.93608093
50,15.49527757
60,15.86830194
70,16.17572859
80,16.48227627
90,16.80604284
100,16.92320222
150,17.57477885
200,17.83382323
250,18.06861925
300,18.21462328
350,18.3965884
400,18.39996579
450,18.47021816
500,18.47641215
550,18.53220501
600,18.59147712
650,18.56009972
700,18.57915552
750,18.65177584
800,18.73341705
850,18.62501647
900,18.73701076
950,18.69243278
1000,18.77647857
1500,18.85891406
2000,18.95889577
2500,18.9804374
3000,19.04972725
3500,19.06128204
4000,19.10130723
4500,19.297527
5000,19.17496675
5500,19.30755847
6000,19.20596304
6500,19.29912242
7000,19.33906291
7500,19.24299194
8000,19.34769353
8500,19.46969755
9000,19.3208197
9500,19.49032702
10000,19.41795276
20000,19.64157969
30000,19.75651304
40000,20.01356486
50000,19.97769647
60000,20.0493806
70000,20.1344118
80000,20.18162211
90000,20.20064929
100000,20.29457434
