Pressure (Pa),Loading (mol/kg)
0.0001,0.000449447
0.0005,0.00210277
0.001,0.004061074
0.005,0.019807768
0.01,0.039543303
0.05,0.198478969
0.1,0.396532569
0.5,1.612856316
1,2.616318792
5,7.016211495
10,7.778569778
20,8.120558753
30,8.312689284
40,8.635022983
50,8.702913545
60,8.824376574
70,9.071500146
80,9.207369555
90,9.234296241
100,9.276696742
150,10.04760254
200,10.30322548
250,10.60119273
300,10.42598869
350,10.90284384
400,11.18967124
450,11.21701527
500,11.65655027
550,11.6376093
600,11.69667144
650,11.93356207
700,12.24338348
750,12.1288307
800,12.65644125
850,12.79880356
900,12.85455906
950,13.23630001
1000,13.15221331
1500,15.18975683
2000,17.31459739
2500,19.91782604
3000,21.44612213
3500,22.3923363
4000,23.31460138
4500,24.28909861
5000,24.67441105
5500,25.05900118
6000,25.75768246
6500,25.77035526
7000,26.10407762
7500,26.64086171
8000,26.66644808
8500,27.32108357
9000,27.87113436
9500,27.91308541
10000,28.3353729
20000,47.96605051
30000,49.33665494
40000,49.84133567
50000,50.28919347
60000,50.27402464
70000,50.67944984
80000,51.1204937
90000,51.05287602
100000,51.17955584
