Pressure (Pa),Loading (mol/kg)
0.0001,0.001949797
0.0005,0.009803651
0.001,0.020672011
0.005,0.100332531
0.01,0.200417758
0.05,0.922594875
0.1,1.697567489
0.5,4.959468092
1,6.401755385
5,9.897399912
10,11.37718109
20,12.69379891
30,13.67510636
40,14.26831054
50,14.80504871
60,15.28120781
70,15.76395041
80,16.12159884
90,16.49876086
100,16.89303891
150,18.37277584
200,19.66455653
250,20.79923149
300,21.70618114
350,22.56042119
400,23.28950459
450,23.7752591
500,24.34468825
550,24.81928283
600,25.3596785
650,25.98915306
700,26.35576692
750,26.79052473
800,27.27465744
850,27.71084441
900,28.28786449
950,28.80284252
1000,29.29439434
1500,33.37821627
2000,35.11953314
2500,35.80839971
3000,36.29748631
3500,36.70870338
4000,36.80931706
4500,37.15004469
5000,37.23614813
5500,37.57383783
6000,37.75469254
6500,37.89542413
7000,37.95228582
7500,38.13134953
8000,38.02468602
8500,38.29120163
9000,38.22949017
9500,38.43551782
10000,38.46467366
20000,39.25659571
30000,39.84119892
40000,39.88114242
50000,40.31124311
60000,40.31186267
70000,40.62309084
80000,40.64223477
90000,40.89958191
100000,41.06843847
