Pressure (Pa),Loading (mol/kg)
0.0001,4.09061934
0.0005,4.335042496
0.001,4.473874919
0.005,4.724940786
0.01,4.792333232
0.05,4.833633183
0.1,4.838399311
0.5,4.848080915
1,4.891540991
5,4.89166653
10,4.848377445
20,4.848377445
30,4.934955614
40,4.89166653
50,4.930717613
60,4.848377445
70,4.950946602
80,4.935267295
90,4.858089351
100,4.947433692
150,4.978244698
200,4.872545741
250,4.954911882
300,4.848377445
350,4.934955614
400,4.950619769
450,4.87108257
500,4.973785923
550,5.021540276
600,4.89166653
650,4.848377445
700,4.914025342
750,4.849903385
800,4.934955614
850,4.848377445
900,4.934955614
950,4.934955614
1000,4.945585249
1500,4.934955614
2000,4.979859381
2500,4.94875401
3000,4.943795245
3500,4.896374217
4000,4.978244698
4500,4.953085082
5000,4.998945538
5500,4.971446148
6000,4.848377445
6500,4.896411013
7000,4.89166653
7500,4.959773246
8000,4.89166653
8500,4.891008535
9000,5.021540276
9500,4.959820864
10000,5.009114144
20000,4.994079845
30000,5.015135656
40000,4.964667077
50000,5.01940396
60000,4.937260758
70000,5.030695917
80000,4.863998311
90000,4.934955614
100000,4.946771369
