Pressure (Pa),Loading (mol/kg)
0.00000001,9.597E-07
0.00000005,0.000007678
0.0000001,8.6377E-06
0.0000005,7.67799E-05
0.000001,0.000146842
0.000005,0.000766839
0.00001,0.001441543
0.00005,0.007699106
0.0001,0.014695933
0.0005,0.077266891
0.001,0.160191042
0.005,0.988081301
0.01,2.291468727
0.05,4.904502977
0.1,5.4357655
0.5,8.461816993
1,9.370873243
5,10.57455887
10,11.42709408
20,12.14946624
30,12.39709364
40,12.36693402
50,12.78129593
60,12.80591126
70,12.83625624
80,12.85719622
90,12.93220152
100,13.00555396
150,13.25431983
200,13.33417625
250,13.47892554
300,13.34384229
350,13.45233159
400,13.25314078
450,13.24730226
500,13.37318515
550,13.30219551
600,13.49067205
650,13.29010364
700,13.50871696
750,13.35485925
800,13.50614197
850,13.47472614
900,13.49839396
950,13.49347737
1000,13.50997298
1500,13.51069619
2000,13.51210576
2500,13.5111553
3000,13.51178177
3500,13.50878606
4000,13.48585834
4500,13.51218407
5000,13.51092344
5500,13.51257254
6000,13.48014944
6500,13.51293798
7000,13.512614
7500,13.51319748
8000,13.51284278
8500,13.51278444
9000,13.51313145
9500,13.51268924
10000,13.51321591
20000,13.51310996
30000,13.5132589
40000,13.51316831
50000,13.51326504
60000,13.51325736
70000,13.51315449
80000,13.51326504
90000,13.51324201
100000,13.51326504
