Pressure (Pa),Loading (mol/kg)
0.0001,0.000661337
0.0005,0.002702557
0.001,0.005439439
0.005,0.027940912
0.01,0.055181586
0.05,0.277171105
0.1,0.565285161
0.5,4.730938803
1,9.286186248
5,11.97313862
10,12.66318533
20,13.25545029
30,13.57137253
40,13.69514551
50,13.82720465
60,13.84296918
70,13.96353159
80,14.06850567
90,14.01548201
100,14.12084968
150,14.23040277
200,14.31786858
250,14.3750685
300,14.41474185
350,14.46080202
400,14.38565905
450,14.57899826
500,14.55613294
550,14.53940501
600,14.51026957
650,14.59630744
700,14.64691917
750,14.64445231
800,14.63408374
850,14.7144007
900,14.65719163
950,14.74426384
1000,14.72781737
1500,14.75968741
2000,14.82085306
2500,14.88731399
3000,15.06887729
3500,14.94527822
4000,15.02749911
4500,15.17390857
5000,15.02815129
5500,15.06180853
6000,15.04571905
6500,15.04997998
7000,15.26671542
7500,15.21703735
8000,15.14718736
8500,15.18566847
9000,15.23945415
9500,15.25402187
10000,15.22611528
20000,15.58754849
30000,15.59120758
40000,15.71701034
50000,15.64957915
60000,15.81300259
70000,15.84676968
80000,15.76134966
90000,15.83243537
100000,15.86994851
