Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
1.42989e-06,5.279145867
1.4613900000000003e-06,10.9336573173
2.00016e-06,16.622910312600002
2.2944499999999997e-06,22.3084650144
2.6135000000000005e-06,27.988909347
2.9293600000000004e-06,33.657384657
3.34539e-06,39.32339443800001
3.8131e-06,44.97999038100001
4.235e-06,50.65989678000001
4.93252e-06,56.33038934100001
5.46377e-06,61.986537006000006
6.18365e-06,67.678995189
6.634210000000001e-06,73.343211858
7.236350000000001e-06,79.017514782
8.24585e-06,84.71916266400001
8.8429e-06,90.38718969600001
1.0315199999999999e-05,96.03683733000001
1.15572e-05,101.686260825
1.1264299999999998e-05,107.335011903
1.05252e-05,112.98959059500001
1.31084e-05,118.637220978
1.38452e-05,124.32116187900002
1.66488e-05,129.963637065
1.98374e-05,135.607232946
2.2332999999999998e-05,141.287139345
2.7109799999999996e-05,146.94104562
3.2011700000000004e-05,152.606607123
3.86081e-05,158.271720348
4.29526e-05,163.94086807500003
4.69149e-05,169.612481331
4.95138e-05,175.26011171400003
5.46378e-05,180.911104182
5.8453e-05,186.566355291
6.23856e-05,192.233709906
6.5399e-05,197.936030205
6.803770000000001e-05,203.624005608
7.18221e-05,209.28486019200002
7.562999999999999e-05,214.94593891500003
8.077960000000001e-05,220.59917277300002
8.53541e-05,226.23021687
9.08282e-05,231.87627828
9.375819999999999e-05,237.52906386000004
0.000100694,243.18184944000004
0.000106382,248.84808336
0.00011295999999999999,254.48966199000003
0.000123011,260.16486147
0.000140236,265.81316427
0.000163914,271.42112205
0.00018250599999999998,277.02459705
0.000221504,282.61238232000005
0.000262429,288.18447786
0.000304964,293.75433201000004
0.00036311,299.26142724
0.00043347000000000004,304.72369467000004
0.000533701,310.12544457
0.000690842,315.39719385
0.000899022,320.52549417
0.00109616,325.57310445
0.00157468,330.29571318
0.0022502200000000003,334.65521673
0.0032417900000000005,338.48351085
0.00468098,341.62818102
0.006510940000000001,344.10491697000003
0.00870808,346.02354681
0.0112398,347.41320861
0.0206409,350.92098396
0.0302944,353.75410092000004
0.0399147,356.57601093
0.0494551,359.76999168000003
0.0589175,362.94379992
0.0689511,365.3084663700001
0.0791967,367.22709621
0.0894899,368.94848373
0.099814,370.51521534
0.125698,374.1193704600001
0.151963,377.03766024000004
0.178687,379.22525688
0.20586900000000002,381.03181722000005
0.23310799999999998,382.5245829600001
0.260755,383.89855503000007
0.287928,385.05959505000004
0.315175,386.10632418
0.342446,387.06115632
0.36987699999999996,387.94202259
0.39728,388.76012994
0.424975,389.51323698000004
0.45234,390.19910232
0.479669,390.87376071000006
0.507113,391.44307377000007
0.534692,391.9877315400001
0.562651,392.5413548700001
0.590045,393.03894345000003
0.6176119999999999,393.53429064000005
0.644588,393.98032725
0.672267,394.39050162000007
0.6997610000000001,394.83205545000004
0.7267389999999999,395.2467126
0.7542239999999999,395.63447307
0.7814030000000001,396.06033717
0.8083480000000001,396.45033903
0.8352430000000001,396.90758259000006
0.8620680000000001,397.4253436800001
0.8887510000000001,398.03724315000005
0.915407,398.78362602
0.9423039999999999,399.85052766000007
0.968933,401.25587919000003
0.994945,403.23950934000004
