Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
5.34649e-07,9.273863194500002
5.64955e-07,18.613824980100002
6.37538e-07,27.981736899
6.37184e-07,37.30278135300001
7.64321e-07,46.605894687
8.547689999999999e-07,55.93007708700001
9.0389e-07,65.23856975700001
1.1361900000000002e-06,74.543476203
1.17495e-06,83.85107231700002
1.80688e-06,93.166737435
1.8667100000000001e-06,102.47612666100002
3.1107299999999997e-06,111.76915374000001
3.91594e-06,121.06666359900001
4.17274e-06,130.35969067800002
5.04391e-06,139.665941958
5.24597e-06,148.97264151599998
7.71417e-06,158.25782373
9.9659e-06,167.53426452300002
1.42296e-05,176.80151561700004
1.64129e-05,186.086697831
2.15259e-05,195.34386267
2.64797e-05,204.59990681400004
3.12549e-05,213.853037151
3.68117e-05,223.09002948000003
4.30616e-05,232.33576323000003
5.30999e-05,241.54563474000003
6.53717e-05,250.73757513
7.9138e-05,259.9115844
0.000104617,269.01162780000004
0.000131769,278.04891228
0.00018638,286.93602363
0.000275998,295.60796154
0.00041316899999999996,304.15214022000004
0.0006078359999999999,312.16735086000006
0.000874231,319.90911192000004
0.00122194,327.11293938000006
0.00167181,333.60176343
0.00222747,339.34868739
0.00293214,344.32233180000003
0.0037826400000000003,348.45993774000004
0.00473807,351.79288467000003
0.005823430000000001,354.55203576
0.00699755,356.82704661
0.008231,358.71877977
0.009486699999999999,360.27654581999997
0.010808,361.65500067000005
0.017672300000000002,366.56364477
0.0247889,369.48193455000006
0.0320106,371.63815173000006
0.0393734,373.35057369000003
0.046695299999999995,374.68868352
0.054020200000000004,375.7959301800001
0.06138,376.80231429
0.0688679,377.65852527000004
0.0763904,378.44749455
0.0838026,379.11767016000005
0.0911008,379.7273282400001
0.0986725,380.26077906
0.11361600000000001,381.2156112
0.128544,382.01802882000004
0.143533,382.6971699900001
0.15854200000000002,383.3001039
0.17333700000000002,383.81114082
0.188177,384.26166021
0.202981,384.65166207000004
0.21793099999999999,385.10442285000005
0.23289,385.3621827
0.24772599999999997,385.66028757
0.262432,385.92028881000005
0.277157,386.17356588
0.291917,386.36632542
0.306749,386.54339523
0.321733,386.76081006000004
0.336545,386.92891431
0.351257,387.09253578
0.366294,387.20460528000007
0.380934,387.35477841000005
0.39588599999999996,387.45339957000004
0.411065,387.53857239
0.425644,387.63495216
0.440294,387.76047000000005
0.455436,387.76495278000004
0.470005,387.8052978
0.484835,387.8209875300001
0.49963599999999997,387.85012560000007
0.514783,387.83667726000004
0.529499,387.7515044400001
0.544408,387.8052978
0.559208,387.84116004000003
0.574064,387.77391834
0.588777,387.76719417000004
0.603374,387.76047000000005
0.617901,387.74029749
0.632957,387.6484005000001
0.6479090000000001,387.60581409
0.66265,387.52736544000004
0.6772819999999999,387.38839926
0.69208,387.28529532000005
0.7067289999999999,387.16201887
0.7214860000000001,386.94684543000005
0.736034,386.73839616000004
0.750745,386.49184326000005
0.765356,386.32822179000004
0.780286,386.16235893000004
0.795057,385.9785649500001
0.809976,385.7656329
0.824473,385.62442533
0.8394,385.3173549
0.85393,385.20528540000004
0.8690060000000001,385.12235397000006
0.883535,385.02821559000006
0.8984160000000001,384.93855999
0.9130410000000001,385.01476725
0.927745,385.16269899
0.942505,385.33976880000006
0.9572,385.79252958
0.9717260000000001,387.11494968000005
0.9860739999999999,390.46134495000007
0.996647,416.98819560000004
