Relative Pressure (P/Po), Quantity Adsorbed (cm3/g STP)
2.2045300000000002e-06,16.2355308789
4.6180699999999995e-06,34.962770193000004
8.00489e-06,53.633997171000004
1.3751200000000001e-05,72.26913777
2.20995e-05,90.87132993600001
3.5189800000000007e-05,109.426677051
5.0952199999999996e-05,127.91164452000001
7.34339e-05,146.327353038
0.00010327700000000001,164.697113061
0.000139975,182.99806241099998
0.000189908,201.136286847
0.000250072,219.179700486
0.000325067,237.08975142000003
0.000421262,254.83707744000003
0.00054475,272.23250523
0.000703584,289.23344838
0.000909504,305.81973438
0.00116561,321.87032817000005
0.00148842,337.39419531
0.0018439700000000001,352.43168082000005
0.00223805,367.05675057
0.00266332,381.30302541000003
0.0031148,395.28481623000005
0.0035877300000000003,409.10074419
0.00407026,422.72167122
0.0045690800000000005,436.31121879000005
0.00507834,449.72145516
0.00558935,462.94565616
0.00611096,476.10485685
0.0066397,489.17664333000005
0.00717956,502.23946425
0.0077253999999999995,515.1610776000001
0.008280850000000001,527.94372477
0.00884715,540.60757827
0.0094301,553.2086728500001
0.0100202,565.6147665000001
0.011581199999999998,596.01698046
0.0132598,625.3948791900001
0.0151746,652.4731117800001
0.0173741,676.78995189
0.0199401,697.6864308600001
0.0230066,715.0325480700001
0.0264514,728.1984729300001
0.030272800000000002,738.4999013700001
0.034319699999999995,746.47028421
0.0384948,752.84255598
0.0429021,758.35413399
0.047222,762.5970852600001
0.0516683,766.5015866400001
0.0561855,769.84349913
0.060655200000000006,772.78420281
0.0653489,775.5209400000001
0.0699892,777.98422761
0.0745451,780.14941035
0.0791248,782.11510938
0.083735,783.9732216900001
0.0885088,785.7304714500001
0.0932178,787.38685866
0.0979167,788.8482449400001
0.11716299999999999,793.8286135200001
0.13611299999999998,797.8182877200001
0.155523,801.05485488
0.174605,803.762454
0.19384400000000002,806.01280956
0.21299900000000002,807.9045427200001
0.232048,809.5497229800001
0.25158200000000003,810.95283312
0.27070900000000003,812.2035287400001
0.290058,813.3197409600001
0.30962,814.1625036
0.32895,815.0904390600001
0.348246,815.74940772
0.36744099999999996,816.2694102
0.38712599999999997,816.71096403
0.406573,817.1166556200002
0.42586300000000005,817.52234721
0.44509699999999996,817.75321038
0.464194,818.00648745
0.48322800000000005,818.2194195000001
0.5023219999999999,818.2709714700001
0.521413,818.0782119300001
0.540823,818.05355664
0.560355,818.06700498
0.5796209999999999,817.9414871400002
0.598797,817.7823484500001
0.618395,817.61200281
0.63774,817.2645873600001
0.65672,817.1704489800001
0.675898,816.9171719100001
0.694479,816.58096341
0.713127,816.3680313600001
0.7317039999999999,815.9937192300001
0.7504339999999999,815.51630316
0.769249,815.3975094900001
0.788196,814.92905898
0.8067989999999999,814.68474747
0.82544,814.33060785
0.8442510000000001,814.1938830600001
0.862984,813.6895703100001
0.881437,813.35112042
0.900536,813.2300853600001
0.919449,813.04404999
0.938267,812.80870404
0.9569089999999999,812.8624974
0.975458,814.2857800500001
0.9939330000000001,821.1399506700001
