Pressure (Pa),Loading (mol/kg)
0.142989,0.23553
0.146139,0.487807
0.200016,0.741634
0.229445,0.995296
0.26135,1.24873
0.292936,1.50163
0.334539,1.75442
0.38131,2.00679
0.4235,2.2602
0.493252,2.51319
0.546377,2.76554
0.618365,3.01951
0.663421,3.27222
0.723635,3.52538
0.824585,3.77976
0.88429,4.03264
1.03152,4.2847
1.15572,4.53675
1.12643,4.78877
1.05252,5.04105
1.31084,5.29302
1.38452,5.54661
1.66488,5.79835
1.98374,6.05014
2.2333,6.30355
2.71098,6.5558
3.20117,6.80857
3.86081,7.06132
4.29526,7.31425
4.69149,7.56729
4.95138,7.81926
5.46378,8.07138
5.8453,8.32369
6.23856,8.57654
6.5399,8.83095
6.80377,9.08472
7.18221,9.33728
7.563,9.58985
8.07796,9.84207
8.53541,10.0933
9.08282,10.3452
9.37582,10.5974
10.0694,10.8496
10.6382,11.1024
11.296,11.3541
12.3011,11.6073
14.0236,11.8593
16.3914,12.1095
18.2506,12.3595
22.1504,12.6088
26.2429,12.8574
30.4964,13.1059
36.311,13.3516
43.347,13.5953
53.3701,13.8363
69.0842,14.0715
89.9022,14.3003
109.616,14.5255
157.468,14.7362
225.022,14.9307
324.179,15.1015
468.098,15.2418
651.094,15.3523
870.808,15.4379
1123.98,15.4999
2064.09,15.6564
3029.44,15.7828
3991.47,15.9087
4945.51,16.0512
5891.75,16.1928
6895.11,16.2983
7919.67,16.3839
8948.99,16.4607
9981.4,16.5306
12569.8,16.6914
15196.3,16.8216
17868.7,16.9192
20586.9,16.9998
23310.8,17.0664
26075.5,17.1277
28792.8,17.1795
31517.5,17.2262
34244.6,17.2688
36987.7,17.3081
39728,17.3446
42497.5,17.3782
45234,17.4088
47966.9,17.4389
50711.3,17.4643
53469.2,17.4886
56265.1,17.5133
59004.5,17.5355
61761.2,17.5576
64458.8,17.5775
67226.7,17.5958
69976.1,17.6155
72673.9,17.634
75422.4,17.6513
78140.3,17.6703
80834.8,17.6877
83524.3,17.7081
86206.8,17.7312
88875.1,17.7585
91540.7,17.7918
94230.4,17.8394
96893.3,17.9021
99494.5,17.9906
