Pressure (Pa),Loading (mol/kg)
0.29912,0.211645
0.377163,0.460573
0.551552,0.709472
0.639323,0.958413
0.900952,1.20667
1.09643,1.45556
1.30219,1.70372
1.4611,1.95228
1.76349,2.20054
2.1855,2.44825
2.81758,2.69577
3.33951,2.94367
4.19548,3.19023
5.36038,3.43684
7.29868,3.68229
9.71468,3.92667
12.8042,4.17017
17.0318,4.41185
22.269,4.65215
27.9387,4.89158
34.9805,5.12952
42.9472,5.36563
52.1711,5.60034
62.8538,5.83302
75.1858,6.06218
89.306,6.28857
106.004,6.5115
126.526,6.72919
151.674,6.94483
179.507,7.15098
212.786,7.35463
251.234,7.54756
295.234,7.73203
346.417,7.91428
402.913,8.08908
464.046,8.25592
529.767,8.41753
598.679,8.573
670.974,8.72444
746.493,8.87363
824.51,9.01967
902.089,9.16087
982.81,9.30138
1246.78,9.7757
1528.79,10.225
1811.81,10.6698
2095.59,11.1092
2375.53,11.5515
2652.25,11.9984
2919.32,12.4469
3178.27,12.902
3433.2,13.3744
3674.47,13.8557
3905.48,14.3545
4120.37,14.8636
4318.4,15.3804
4497.91,15.9356
4657.59,16.4973
4799.41,17.0842
4923.92,17.6935
5035.61,18.3201
5136.52,18.9507
5261.52,19.5465
5467.68,20.0505
5801.06,20.4152
6221.37,20.6804
6683.33,20.8794
7175.21,21.041
7693.03,21.1783
8228.05,21.301
8770.85,21.4046
9328.76,21.4969
9894.84,21.584
11348.3,21.7659
12813.8,21.9113
14280.7,22.0341
15766.7,22.1381
17264.7,22.2302
18773.8,22.311
20293.4,22.3825
21815.8,22.4488
23297.8,22.5035
24793.5,22.5572
26282.1,22.6056
27786.9,22.6518
29293.2,22.6923
30806.7,22.7316
32325.7,22.7672
33848.1,22.8007
35377.1,22.8323
36910.1,22.8596
38438.4,22.8873
39986.8,22.913
41468.3,22.9367
42961.5,22.9583
44446.5,22.9799
45932.5,22.9979
47427.9,23.0156
48913.8,23.034
50410,23.0516
51916.3,23.0662
53409.1,23.08
54892.3,23.0961
56389.1,23.1081
57873,23.1197
59357.9,23.131
60817,23.1434
62279.1,23.1554
63750.6,23.1647
65227.5,23.1755
66694.4,23.1881
68149,23.1964
69622.1,23.2037
71099.1,23.2128
72553.9,23.2202
74024.8,23.2267
75460.4,23.234
76909.4,23.2402
78363.2,23.2489
79834.1,23.2544
81254.1,23.264
82658.8,23.2699
84110.6,23.2774
85566.9,23.2864
87007.3,23.2938
88444.2,23.3029
89880.4,23.315
91283.5,23.3241
92709.8,23.3342
94092.4,23.3508
95501.3,23.3693
96917.1,23.3982
98287.3,23.4583
98974.6,24.4188
