Pressure (Pa),Loading (mol/kg)
0.0534649,0.413755
0.0564955,0.830459
0.0637538,1.24841
0.0637184,1.66427
0.0764321,2.07933
0.0854769,2.49533
0.090389,2.91063
0.113619,3.32577
0.117495,3.74103
0.180688,4.15665
0.186671,4.57199
0.311073,4.9866
0.391594,5.40141
0.417274,5.81602
0.504391,6.23122
0.524597,6.64644
0.771417,7.0607
0.99659,7.47457
1.42296,7.88803
1.64129,8.30229
2.15259,8.7153
2.64797,9.12826
3.12549,9.54109
3.68117,9.9532
4.30616,10.3657
5.30999,10.7766
6.53717,11.1867
7.9138,11.596
10.4617,12.002
13.1769,12.4052
18.638,12.8017
27.5998,13.1886
41.3169,13.5698
60.7836,13.9274
87.4231,14.2728
122.194,14.5942
167.181,14.8837
222.747,15.1401
293.214,15.362
378.264,15.5466
473.807,15.6953
582.343,15.8184
699.755,15.9199
823.1,16.0043
948.67,16.0738
1080.8,16.1353
1767.23,16.3543
2478.89,16.4845
3201.06,16.5807
3937.34,16.6571
4669.53,16.7168
5402.02,16.7662
6138,16.8111
6886.79,16.8493
7639.04,16.8845
8380.26,16.9144
9110.08,16.9416
9867.25,16.9654
11361.6,17.008
12854.4,17.0438
14353.3,17.0741
15854.2,17.101
17333.7,17.1238
18817.7,17.1439
20298.1,17.1613
21793.1,17.1815
23289,17.193
24772.6,17.2063
26243.2,17.2179
27715.7,17.2292
29191.7,17.2378
30674.9,17.2457
32173.3,17.2554
33654.5,17.2629
35125.7,17.2702
36629.4,17.2752
38093.4,17.2819
39588.6,17.2863
41106.5,17.2901
42564.4,17.2944
44029.4,17.3
45543.6,17.3002
47000.5,17.302
48483.5,17.3027
49963.6,17.304
51478.3,17.3034
52949.9,17.2996
54440.8,17.302
55920.8,17.3036
57406.4,17.3006
58877.7,17.3003
60337.4,17.3
61790.1,17.2991
63295.7,17.295
64790.9,17.2931
66265,17.2896
67728.2,17.2834
69208,17.2788
70672.9,17.2733
72148.6,17.2637
73603.4,17.2544
75074.5,17.2434
76535.6,17.2361
78028.6,17.2287
79505.7,17.2205
80997.6,17.211
82447.3,17.2047
83940,17.191
85393,17.186
86900.6,17.1823
88353.5,17.1781
89841.6,17.1741
91304.1,17.1775
92774.5,17.1841
94250.5,17.192
95720,17.2122
97172.6,17.2712
98607.4,17.4205
99664.7,18.604
