Pressure (Pa),Loading (mol/kg)
0.148715,0.218723
0.150336,0.467074
0.163499,0.71706
0.217661,0.966654
0.30717,1.21575
0.439222,1.46393
0.494793,1.71248
0.577123,1.96065
0.732715,2.20914
1.14244,2.45695
1.61557,2.70464
2.53467,2.95073
3.76978,3.19692
5.47154,3.44186
8.24045,3.68608
12.3501,3.9281
17.0552,4.16928
22.2982,4.41061
27.2636,4.65219
32.1679,4.89409
36.6859,5.13668
40.5646,5.37978
44.7933,5.62173
48.4925,5.86407
52.0557,6.10669
55.3379,6.34941
59.0149,6.59152
63.2719,6.83303
67.6611,7.07433
72.6639,7.31473
78.6892,7.55366
85.2127,7.79157
93.4877,8.02653
103.42,8.25903
115.378,8.4875
129.367,8.7129
145.416,8.9357
165.159,9.15495
185.212,9.37159
207.183,9.58416
230.838,9.79482
255.836,10.0034
282.185,10.2093
309.732,10.4136
338.856,10.6159
368.538,10.8169
399.469,11.0148
431.235,11.2115
464.283,11.408
498.127,11.6037
532.834,11.7973
569.072,11.9912
605.693,12.1817
644.18,12.3729
683.863,12.5664
723.374,12.7549
763.437,12.9386
805.775,13.1255
847.822,13.3063
892.181,13.4929
935.95,13.6752
980.892,13.8586
1132.84,14.4484
1282.29,15.056
1440.88,15.6292
1602.2,16.2028
1764.14,16.7739
1926.84,17.3337
2093.04,17.8933
2263.67,18.445
2437.75,18.9858
2622.46,19.5264
2811.32,20.0442
3009.91,20.557
3217.44,21.0449
3439.55,21.5193
3672.84,21.9741
3929.15,22.4203
4204.49,22.8498
4494.37,23.2601
4799,23.6482
5109.12,24.0123
5436.56,24.3618
5767.75,24.6966
6115.18,25.0238
6462.82,25.3414
6820.95,25.6504
7182.09,25.9596
7545.67,26.2643
7896.34,26.5526
8254.09,26.8526
8613.69,27.16
8976.55,27.4762
9326.51,27.7982
9669.49,28.1324
9997.31,28.4656
10754.3,29.3719
11423.5,30.4098
11972.6,31.5879
12415.6,32.8904
12764.9,34.2803
13011.8,35.8672
13140.1,37.6088
13201.6,39.4072
13260,41.2044
13344.9,42.971
13454.7,44.6567
13715.5,46.161
14500.2,47.0284
15597.2,47.4376
16785.8,47.7401
18030.3,47.9927
19283.6,48.2155
20583.6,48.4129
21858.8,48.581
23153.3,48.7309
24470.4,48.8708
25796.3,48.993
27139.5,49.1048
28488.5,49.2083
29850.5,49.3014
31217.8,49.3896
32596.8,49.47
33988.6,49.5461
35350.7,49.6151
36737.8,49.6788
38127.2,49.7395
39477.1,49.7927
40832.8,49.8427
42192.2,49.8898
43560.6,49.933
44935.2,49.9738
46312.2,50.0116
47696.2,50.0491
49083.7,50.0829
50473.9,50.1138
51869.8,50.1423
53276.6,50.1706
54675.1,50.1977
56085.5,50.221
57485.5,50.2431
58887.9,50.2663
60301.9,50.2866
61710.6,50.3089
63119,50.326
64529.3,50.3452
65902.6,50.3612
67283.3,50.3777
68677,50.3934
70072.1,50.4091
71462.7,50.4209
72851.8,50.4328
74257.3,50.4466
75661.2,50.461
77064.1,50.4705
78482.5,50.4837
79847.2,50.4973
81218.6,50.5064
82618.6,50.517
84008.4,50.5294
85404.7,50.541
86783.5,50.5497
88187.3,50.5627
89586,50.5744
90994.8,50.5861
92365.5,50.6015
93742.4,50.6169
95088.6,50.6386
96445,50.6604
97814.2,50.6962
99116.6,50.7637
