Pressure (Pa),Loading (mol/kg)
0.0187613,0.207869
0.0294165,0.416046
0.0406931,0.623289
0.0743774,0.829084
0.281562,1.03347
0.890756,1.23149
1.76506,1.42695
3.3849,1.6177
10.0276,1.8029
63.0113,1.9466
128.342,2.07838
170.281,2.23239
203.799,2.39172
240.359,2.54876
277.891,2.70485
323.168,2.85594
379.807,2.99432
453.004,3.11579
556.108,3.20706
675.591,3.28735
804.671,3.35448
957.085,3.40293
1110.96,3.44716
1271.26,3.48418
1440.53,3.51336
1615.92,3.53963
1793.23,3.56381
1974.63,3.58487
2159.39,3.60405
2341.73,3.62197
2528.42,3.63808
2711.6,3.65297
2903.74,3.66727
3096.92,3.68074
3287.44,3.69327
3478.64,3.70529
3669.24,3.71602
3859.2,3.72681
4051.9,3.73722
4250.79,3.74673
4444.4,3.75585
4637.37,3.76497
4830.55,3.77357
5022.45,3.78213
5217.32,3.79048
5407.66,3.79814
5605.72,3.80576
5794.44,3.81334
5984.52,3.81983
6173.26,3.8264
6365.66,3.83306
6564.21,3.83975
6763.53,3.84613
6958.21,3.85249
7151.69,3.85816
7340.59,3.86437
7537.54,3.87022
7736.51,3.87614
7924.52,3.88254
8116.13,3.88732
8320.79,3.89397
8519.39,3.89941
8711.93,3.90533
8914.98,3.91149
9108.57,3.91782
9293.48,3.92277
9487.99,3.92879
9693.36,3.93445
9901.12,3.93979
10301.9,3.94711
10687.5,3.95627
11070.7,3.96294
11457.1,3.96969
11866.6,3.97754
12273.6,3.98384
12664.1,3.99038
13044.9,3.99659
13441,4.00284
13823.1,4.00842
14219.5,4.01416
14614.1,4.02073
15007.7,4.02624
15392.5,4.03074
15777.3,4.03594
16199,4.041
16595.1,4.04668
16997.1,4.05039
17405.1,4.05564
17790.8,4.05925
18203.4,4.06482
18612.7,4.06905
19027.6,4.0732
19407.6,4.07806
19796,4.0818
20206.2,4.08573
20595.6,4.09069
21005.8,4.0951
21411.3,4.09917
21764.1,4.10372
22148.9,4.10769
22564.4,4.11233
22922.3,4.11608
23325.6,4.11998
23683.8,4.12314
24055.1,4.12742
24477.6,4.13153
24871.2,4.13523
25289.2,4.13899
25702,4.14409
26131,4.14816
26518.7,4.15298
26901.5,4.15704
27315,4.16132
27720.8,4.16616
28114.4,4.16984
28526.9,4.175
28918.5,4.18011
29307.1,4.18375
29695.9,4.18855
30122.1,4.19311
31721.2,4.2063
33283.2,4.21804
34882.5,4.23115
36481.4,4.24323
38029.1,4.2565
39577.9,4.26773
41168.7,4.27971
42719.8,4.29193
44263.3,4.30467
45869.1,4.31627
47440.2,4.3279
48985.9,4.33909
50553.7,4.35023
52129.7,4.35821
53702.4,4.36722
55246.5,4.37624
56816.3,4.38318
58356.5,4.39074
59951,4.39902
61516.9,4.40532
63071.3,4.4129
64598.2,4.4188
66174.5,4.4252
67670.5,4.43196
69206.5,4.4371
70725.5,4.44267
72274.1,4.44831
73805.6,4.454
75339.4,4.45902
76903.8,4.46747
78439.7,4.47609
79975.8,4.48345
81474.8,4.4931
82983.2,4.49988
84488.4,4.51055
85985,4.52054
87474.8,4.53498
88993.7,4.54921
90476.1,4.56851
91981.4,4.59116
93449.9,4.62084
94926.9,4.66236
96385.9,4.72041
97837.5,4.81638
99200.9,5.01494
