Pressure (Pa),Loading (mol/kg)
0.0159304,0.212906
0.028534,0.425396
0.0428257,0.638588
0.0579738,0.851037
0.0768635,1.0606
0.0953752,1.27038
0.111893,1.47982
0.13066,1.693
0.15448,1.9024
0.17544,2.11222
0.20835,2.32161
0.243346,2.53395
0.289466,2.74352
0.343468,2.95594
0.418789,3.16523
0.519899,3.37744
0.657445,3.58716
0.695829,3.79942
0.799254,4.01244
1.03343,4.22146
1.33842,4.43399
1.76507,4.64645
2.11926,4.85601
2.50594,5.0678
2.87824,5.27701
3.19016,5.48965
3.48758,5.69942
3.80281,5.91204
3.9676,6.12188
4.18843,6.33425
4.3883,6.5467
4.62736,6.75619
4.83554,6.96846
5.04482,7.17847
5.18757,7.39071
5.33558,7.60082
5.55263,7.81263
5.72284,8.02422
5.92318,8.23532
6.13327,8.44505
6.34925,8.65488
6.54374,8.86702
6.85873,9.07711
7.15825,9.28917
7.64638,9.4985
8.051,9.70836
8.67125,9.91857
9.20815,10.1278
10.1224,10.3375
11.6095,10.5474
13.8938,10.7564
17.1387,10.9634
21.8803,11.1693
29.3322,11.3737
40.5741,11.5728
57.7666,11.7656
83.6777,11.9501
121.398,12.1228
176.19,12.2801
247.447,12.4178
340.427,12.5362
453.498,12.6328
586.402,12.7111
736.07,12.7739
897.519,12.8241
1070.06,12.866
1242.89,12.903
1421.95,12.9346
1606.88,12.9639
1789.18,12.9914
1974.5,13.0177
2166.81,13.0417
2355.23,13.0623
2549.05,13.0801
2742.7,13.0949
2939.58,13.1096
3133.97,13.1223
3326.27,13.1343
3531.81,13.1453
3738.71,13.1559
3934.74,13.1659
4137.53,13.1739
4338.18,13.1822
4539.11,13.1893
4736.99,13.1962
4937.52,13.2019
5138.22,13.2071
5338.44,13.2123
5539.92,13.2168
5745.44,13.2224
5950.7,13.2265
6148.75,13.2305
6348.98,13.2347
6550.25,13.2385
6752.75,13.2418
6967.82,13.2454
7170.96,13.2489
7374.25,13.2521
7578.84,13.2545
7784.33,13.2574
7989.73,13.2605
8183.56,13.2628
8384.51,13.2651
8584.76,13.2684
8785.59,13.2699
8984.07,13.2723
9186.02,13.2746
9387.79,13.2764
9588.01,13.2784
9781.76,13.2803
10201.3,13.2845
10619.6,13.288
11034.3,13.2914
11456.7,13.2955
11877.6,13.2982
12314.9,13.3019
12734.2,13.3055
13167,13.3084
13569.8,13.3107
13981.8,13.3132
14406.8,13.3163
14831.1,13.3188
15252.6,13.3214
15661.2,13.3236
16101,13.3256
16526.2,13.3277
16939,13.3293
17370.2,13.3307
17776.6,13.332
18162.7,13.3333
18566.7,13.3349
18975.6,13.3355
19360.2,13.3375
19759.4,13.3377
20146.9,13.3384
20524.9,13.3394
20935.2,13.3412
21318.5,13.3413
21698.5,13.3429
22089,13.3428
22488,13.3445
22888.2,13.3448
23297.2,13.3441
23678.3,13.346
24058,13.346
24457.7,13.347
24857.4,13.3465
25254.7,13.3476
25647,13.3474
26045.1,13.3481
26444.2,13.3489
26846,13.3497
27236.4,13.3495
27634.4,13.3496
28042.2,13.3499
28429.9,13.3501
28834,13.3508
29233,13.3523
29641.3,13.3521
30033.1,13.3518
31708.2,13.3535
33330,13.355
34991.3,13.3564
36649,13.3569
38294.2,13.3574
39941.6,13.3572
41591.2,13.3582
43232.9,13.3591
44861.2,13.3595
46508.4,13.3586
48147.6,13.3587
49784.7,13.3573
51398.8,13.3572
53024.3,13.3578
54661,13.3558
56305.1,13.3553
57931,13.3552
59598.6,13.3551
61229.9,13.3545
62892.6,13.3541
64541,13.3536
66163.7,13.3531
67824.1,13.3529
69484,13.3521
71135.7,13.3513
72761.4,13.3514
74413,13.351
76067.7,13.3503
77714.3,13.3516
79313,13.3523
80955.2,13.3535
82589.9,13.3566
84241.8,13.358
85896.4,13.3616
87540.5,13.3648
89151.8,13.3715
90763.8,13.3798
92374.7,13.3876
93992.1,13.405
95607.2,13.4284
97183,13.4694
98694.4,13.575
99714,14.2348
