Pressure (Pa),Loading (mol/kg)
0.656011,0.208601
1.97381,0.455025
3.22123,0.705235
5.2294,0.953406
6.47498,1.2018
8.18267,1.45002
9.39618,1.69981
10.8441,1.9491
12.5515,2.1974
14.0153,2.4446
15.4313,2.69252
16.6773,2.94057
18.0935,3.18833
19.554,3.43483
20.9498,3.68081
22.4399,3.92785
24.362,4.17379
26.0694,4.4193
28.5187,4.66366
30.5916,4.90721
33.278,5.15155
36.8278,5.39449
40.7216,5.63639
44.8583,5.87835
50.2728,6.11881
56.6324,6.358
64.3873,6.59472
74.4836,6.83004
86.2749,7.06344
100.486,7.29533
120.659,7.52222
146.936,7.74252
182.801,7.95479
229.508,8.15891
293.658,8.34727
380.046,8.51822
488.075,8.67223
538.341,8.86528
587.118,9.05795
647.409,9.24142
726.847,9.41038
828.418,9.56409
928.869,9.71686
1031.29,9.87241
1417.52,10.3531
1959.96,10.7098
2628.75,10.9752
3471.9,11.1207
4390.08,11.2122
5383.64,11.248
6391.95,11.2624
7420.09,11.2713
8462.64,11.2799
9513.55,11.2859
10527.3,11.2922
13088.9,11.2968
15667,11.3
18252.8,11.302
20836.1,11.3049
23392.1,11.3069
25951.2,11.3089
28550,11.3126
31129.3,11.3137
33712.8,11.315
36275.5,11.3177
38821.9,11.3182
41366.5,11.3183
43945.5,11.321
46490.2,11.3207
49039.9,11.3197
51637.5,11.3188
54172.7,11.3169
56675.4,11.3157
59264.2,11.3131
61799.2,11.3121
64311.7,11.3112
66891.6,11.3082
69431.9,11.3068
71930.7,11.3046
74480.2,11.3024
76991.7,11.2993
79483.8,11.2968
81986.8,11.2952
84535.6,11.2927
87054.5,11.2913
89582,11.2896
92092.1,11.2884
94568.3,11.2863
97081,11.2865
99561.4,11.3198
