Pressure (Pa),Loading (mol/kg)
0.2361,9.29E-02
1.2884,2.80E-01
5.5174,6.79E-01
51.796,1.73E+00
156.09,2.73E+00
229.45,3.34E+00
246.66,3.49E+00
331.75,4.19E+00
396.22,4.72E+00
475.13,5.37E+00
488.7,5.48E+00
590.09,6.26E+00
667.72,6.83E+00
728.17,7.25E+00
857.74,8.09E+00
1019.1,9.01E+00
1270.3,1.03E+01
1495.6,1.12E+01
1876.8,1.24E+01
1982.5,1.27E+01
2472.3,1.38E+01
3128.2,1.49E+01
4171.4,1.61E+01
4884.4,1.69E+01
6741,1.88E+01
7459.3,1.97E+01
9175.1,2.25E+01
9914.2,2.37E+01
11773,2.65E+01
12568,2.78E+01
14138,3.10E+01
15215,3.24E+01
18461,3.32E+01
21100,3.35E+01
23769,3.38E+01
26360,3.40E+01
31619,3.44E+01
32799,3.44E+01
35273,3.46E+01
37750,3.47E+01
40278,3.48E+01
42811,3.49E+01
45305,3.50E+01
47808,3.51E+01
50274,3.52E+01
52779,3.53E+01
55309,3.53E+01
57779,3.54E+01
60269,3.54E+01
62845,3.55E+01
65341,3.56E+01
67853.001,3.56E+01
70395,3.57E+01
72918,3.58E+01
75391,3.58E+01
77947,3.59E+01
80419,3.60E+01
82925,3.60E+01
85503,3.61E+01
87998,3.62E+01
90420,3.63E+01
93047,3.64E+01
95526,3.65E+01
97611,3.66E+01
97695,3.66E+01
97718,3.67E+01
97878,3.68E+01
98082,3.68E+01
98156,3.69E+01
98208,3.69E+01
98169,3.70E+01
98262,3.70E+01
98384,3.71E+01
100210,3.71E+01
